dssn,drname,dob,sex
487343173,Courtney Jones,1958-04-19,F
982871614,Marc Nash,1950-11-05,M
811220102,Jacob Castro,1987-07-24,M
238833834,Maria Smith,1974-09-21,F
258316250,Amanda Stewart,1946-09-23,F
720140854,Michael Stevens,1947-02-01,M
471022676,David Pitts,1988-11-24,M
516949518,Anthony Smith,1953-01-07,M
861896612,Steven Mccoy,1980-10-15,M
766517712,Tammy Allen,1955-11-01,F
102539889,Sandra Hunt,1969-01-02,F
420458845,Ronald Wilson,1958-01-02,M
926925557,Ashley Pacheco,1970-07-02,F
712454883,Mrs. Katherine Thomas MD,1956-09-12,F
456278019,Sean Pennington,1962-02-08,M
157064317,Amber Diaz,1986-07-05,F
383239348,Nathan Pollard,1976-03-13,M
857563019,Bethany Bates,1967-08-23,F
950101508,John Cummings,1983-04-27,M
253508361,Lance Dunn,1975-05-22,M
607365150,Christopher Sanchez,1952-10-28,M
121179994,Andrew Pham,1982-08-08,M
755279351,Margaret Smith,1961-11-07,F
530761437,Natasha Guerrero,1973-07-07,F
484700932,Cristian Carey,1984-05-25,M
248132909,Alison Sloan,1958-01-23,F
775992576,Lynn King,1959-01-19,F
665177327,Elizabeth Oconnell,1960-02-11,F
841221853,Billy Church,1971-10-20,M
475070520,Amber Allen,1974-03-23,F
